study_accession	sample_accession	secondary_sample_accession	run_accession	sample_title
PRJEB13747	SAMEA3944992	ERS1132126	ERR1382573	Plate20.75
PRJEB13747	SAMEA3945833	ERS1132967	ERR1382574	Plate31.9
PRJEB13747	SAMEA3944358	ERS1131492	ERR1382575	Plate10.24
PRJEB13747	SAMEA3945316	ERS1132450	ERR1382576	Plate24.61
PRJEB13747	SAMEA3946340	ERS1133474	ERR1382577	Plate9.30
PRJEB13747	SAMEA3943741	ERS1130875	ERR1382578	Plate47.22
PRJEB13747	SAMEA3946084	ERS1133218	ERR1382579	Plate6.52
PRJEB13747	SAMEA3945198	ERS1132332	ERR1382580	Plate23.27
PRJEB13747	SAMEA3945855	ERS1132989	ERR1382581	Plate32.44
PRJEB13747	SAMEA3944953	ERS1132087	ERR1382582	Plate19.38
PRJEB13747	SAMEA3945914	ERS1133048	ERR1382583	Plate33.5
PRJEB13747	SAMEA3945497	ERS1132631	ERR1382584	Plate27.5
PRJEB13747	SAMEA3943989	ERS1131123	ERR1382585	Plate41.49
PRJEB13747	SAMEA3943299	ERS1130433	ERR1382586	Plate36.4
PRJEB13747	SAMEA3943391	ERS1130525	ERR1382587	Plate37.26
PRJEB13747	SAMEA3945871	ERS1133005	ERR1382588	Plate32.73
PRJEB13747	SAMEA3944608	ERS1131742	ERR1382589	Plate14.43
PRJEB13747	SAMEA3943380	ERS1130514	ERR1382590	Plate37.17
PRJEB13747	SAMEA3945856	ERS1132990	ERR1382591	Plate32.43
PRJEB13747	SAMEA3946040	ERS1133174	ERR1382592	Plate5.38
PRJEB13747	SAMEA3944673	ERS1131807	ERR1382593	Plate15.51
PRJEB13747	SAMEA3944445	ERS1131579	ERR1382594	Plate11.54
PRJEB13747	SAMEA3943149	ERS1130283	ERR1382595	Plate34.2.45
PRJEB13747	SAMEA3943294	ERS1130428	ERR1382596	Plate36.3
PRJEB13747	SAMEA3945098	ERS1132232	ERR1382597	Plate21.95
PRJEB13747	SAMEA3943932	ERS1131066	ERR1382598	Plate39.86
PRJEB13747	SAMEA3945714	ERS1132848	ERR1382599	Plate30.38
PRJEB13747	SAMEA3943164	ERS1130298	ERR1382600	Plate34.2.37
PRJEB13747	SAMEA3943115	ERS1130249	ERR1382601	Plate34.2.49
PRJEB13747	SAMEA3944771	ERS1131905	ERR1382602	Plate16.5
PRJEB13747	SAMEA3945504	ERS1132638	ERR1382603	Plate27.40
PRJEB13747	SAMEA3945726	ERS1132860	ERR1382604	Plate30.14
PRJEB13747	SAMEA3943286	ERS1130420	ERR1382605	Plate36.20
PRJEB13747	SAMEA3944653	ERS1131787	ERR1382606	Plate15.27
PRJEB13747	SAMEA3944097	ERS1131231	ERR1382607	High1.33
PRJEB13747	SAMEA3945270	ERS1132404	ERR1382608	Plate24.79
PRJEB13747	SAMEA3945264	ERS1132398	ERR1382609	Plate24.15
PRJEB13747	SAMEA3944233	ERS1131367	ERR1382610	Low1.9
PRJEB13747	SAMEA3944415	ERS1131549	ERR1382611	Plate10.39
